timestamp,symbol,bid_price,ask_price,micro_price
1672542960000000000,COIN_A,4.0,5.0,4.5
1672542961000000000,COIN_B,10.0,11.0,10.5
1672542971000000000,COIN_A,4.0,5.0,4.5
1672542972000000000,COIN_A,4.0,5.0,4.5
1672543072000000000,COIN_A,4.0,5.0,4.5
1672543072001000000,COIN_A,3.0,4.0,3.5
1672543072001010000,COIN_B,9.0,10.0,9.5
1672543072001020000,COIN_B,9.0,10.0,9.5
1672543072001070000,COIN_B,9.0,10.0,9.5
1672543072002070000,COIN_A,3.0,4.0,3.5
1672543072002370000,COIN_A,4.0,5.0,4.5
1672543072002380000,COIN_B,10.0,11.0,10.5
1672543072002480000,COIN_A,4.0,5.0,4.5
1672543072002580000,COIN_A,3.0,4.0,3.5
1672543072002680000,COIN_B,9.0,10.0,9.5
1672543082002680000,COIN_A,3.0,4.0,3.5
1672543087002680000,COIN_B,9.0,10.0,9.5
1672543099002680000,COIN_A,15.0,16.0,15.5
1672543099002690000,COIN_B,25.0,26.0,25.5
1672543099002700000,COIN_A,15.0,16.0,15.5
1672543099002710000,COIN_B,25.0,26.0,25.5
1672543099003210000,COIN_A,15.0,16.0,15.5
1672543099063210000,COIN_B,25.0,26.0,25.5
1672543099064210000,COIN_A,15.0,16.0,15.5
